Title	Author	Playlist	Language
「5分ヨガ」シリーズ	yogalog 日本最大のヨガレッスン動画サイト	https://www.youtube.com/watch?v=vFkbjvp-qE8&list=PL2ANCjO22lRIgdNXteT4dRoUGkMQdJMPE	ja
ヨガ2	yogalog 日本最大のヨガレッスン動画サイト	https://www.youtube.com/watch?v=kF1Eb9qY8R0&list=PLLOpB_69udSjySGEMtAI0EUJzEEHbSzE_	ja
おうちヨガ一覧	mikamikayoga	https://www.youtube.com/watch?v=BEBtUZcV5EQ&list=PLxaMj9CEPPu5JKXCGl1kXZ8SYTuys6_AQ	ja
東スポ発！ヨガ　yoga	tokyosportsmovie	https://www.youtube.com/watch?v=glLPApcUpu4&list=PL70384530514E870F	ja
ピラティス and ヨガ	tanatsune	https://www.youtube.com/watch?v=CQt_svdUtNY&list=PLnb4N3B39yhE_RzsF0NmhDoGGqiJj7RAs	ja
ヨガ動画	EnergyBodyStudio	https://www.youtube.com/watch?v=xf20ZQHI_bA&list=PL6E2ECAF079F3117B	ja
夜ヨガ	acollectionA	https://www.youtube.com/watch?v=hq5tVyXhT9U&list=PLJw2RlpR2UGn5q6k3cgLdzoOjTX26h98v	ja
マタニティヨガ 臨月	西生吉孝	https://www.youtube.com/watch?v=VYFRZuKdd3I&list=PL5GrsHg9B-JcrWV3jScyFD-tDWaQtACUV	ja
ヨガ（深堀真由美）	ネスレ日本公式チャンネル	https://www.youtube.com/watch?v=gTHCQju_Dcs&list=PL6EF264B53E3D2ADD	ja
Aulas de Yoga	exercicioemcasa	https://www.youtube.com/watch?v=g81VPctz6MA&list=PLefim6xeMq0PBbI3zqvYsxtFLAruOHHLI	pt
AULAS NAMU - YOGA	NAMU	https://www.youtube.com/watch?v=SN9MIrngxZA&list=PLg9jffVWkXaMztI3WU3P2NA-YAc55YhUd	pt
Aula de yoga integral	Minha Vida	https://www.youtube.com/watch?v=GnIt1Xb88yU&list=PL1790C55A5AD8261D	pt
Aulas de Yoga	Minha Vida	https://www.youtube.com/watch?v=IWkNmf-hedI&list=PL60746187D802531A	pt
Yoga para Iniciantes - Yoga no Canal da Pri	Pri Leite Yoga	https://www.youtube.com/watch?v=KZsgpfha25w&list=PLnXTMjA8X5lcXzKTROZJK6_TbtQ8YLeh0	pt
Namaste Yoga in Italian	Melissa West	https://www.youtube.com/watch?v=p9dUCeuEm2Q&list=PLdFcYtDajz22z8k7Hqy_BKGISvH3kGwLk	pt
Yoga para Cura - Yoga no Canal da Pri	Pri Leite Yoga	https://www.youtube.com/watch?v=t6_ITEIAmIg&list=PLnXTMjA8X5ldonfNl2OqTjOVpuwviMnMM	pt
yoga	Ronaldo Aguiar	https://www.youtube.com/watch?v=k8YsxKiaOxk&list=PL5HfJkei-EpJYzkVel7K3nq8I21htcEJF	pt
30 Dias de Yoga com Gabi Dias	Yoga com Intenção por Gabi Dias	https://www.youtube.com/watch?v=drDHniUgZMw&list=PLHdo_40RjlJYntcUHFshZvKR6UroapFvU	pt
Yoga All Levels - Yoga no Canal da Pri	Pri Leite Yoga	https://www.youtube.com/watch?v=MO6Js4Nic1g&list=PLnXTMjA8X5lcEt6zW186tinuLChl_XRba	pt
YOGA para TODOS	MalovaElena	https://www.youtube.com/watch?v=zJlGTTpirFQ&list=PL465EA5E34E024AC9	es
ESTIRAMIENTOS Y YOGA	Dakidissa S.	https://www.youtube.com/watch?v=zT_LFOGwgmE&list=PL8A904608F7356CC2	es
YogaMes - Yoga Vinyasa	MalovaElena	https://www.youtube.com/watch?v=heaYGNr1K_Q&list=PLNH7cFJ42PKhwkvweDdNckhgUDZ8YwrUW	es
Yoga with Nic and Pancho	Nic and Pancho	https://www.youtube.com/watch?v=GPGNq7lquX0&list=PLPVU2q337q89WJequr6rUNPTRSxNWpJsD	es
Ciudad Yoga	CiudadYOGA	https://www.youtube.com/watch?v=DnN8duRpzzw&list=PL31E936C1F3A6AA2C	es
Clases Gratis de Yoga en Español	SolsticeYogaCenter	https://www.youtube.com/watch?v=z5o8g5gfcJM&list=PLFFE93913BA37BF05	es
Curso de Yoga físico por Ramiro Calle	Mindalia Televisión	https://www.youtube.com/watch?v=2at_83SezS8&list=PLmRfYsslShmKCENWWSKYTJBRDVHwCzfGY	es
Yoga para embarazadas en español	elEmbarazoNet	https://www.youtube.com/watch?v=bKlk-Id7N4g&list=PL5762B6EA3B526A53	es
Clases Yoga - Aprender Yoga Desde Casa	Negocio Con Confianza	https://www.youtube.com/watch?v=85neZNdWphA&list=PLAHwFuk9TyonwUNkytWUcpV8z8iAjNFGG	es
Yoga para principiantes	Aomm.tv	https://www.youtube.com/watch?v=xlk4Lb_12BY&list=PL2rlMIrfyUv-LkdJxnsMtz-NP3zi8Avh6	es
Yoga per Principianti	La Scimmia Yoga	https://www.youtube.com/watch?v=lXYfpqi-i84&list=PLSmv8AuzLvGExKBEADTZPZTdjaVupVBTa	it
Esercizi Posturali	Saluteinmovimento	https://www.youtube.com/watch?v=rKbLCSZv624&list=PL5D12F855A252C79F	it
Yoga - Esercizi per il rilassamento	La Scimmia Yoga	https://www.youtube.com/watch?v=IPqwOgf1cEI&list=PLSmv8AuzLvGHye3ar53bOEUECvkblYaTE	it
Mini sequenze	La Scimmia Yoga	https://www.youtube.com/watch?v=GxupQaQLP6s&list=PLSmv8AuzLvGGh67haacsI5ZCe7mXE4SSB	it
Yoga per dimagrire	DeAbyDay	https://www.youtube.com/watch?v=EeD6SP81nS4&list=PL76C4A45C18C14CA1	it
Yoga per essere in forma	La Scimmia Yoga	https://www.youtube.com/watch?v=jrx0vWYDTCo&list=PLSmv8AuzLvGF4Dtzq8FVC1V1uEkx8-_qw	it
Yoga - Posizioni livello intermedio	La Scimmia Yoga	https://www.youtube.com/watch?v=2xsQCiiTDlE&list=PLSmv8AuzLvGFzyaZqVmcGj88ZHXsps0Dl	it
ANCHE E BACINO	RiflessiCondizionati	https://www.youtube.com/watch?v=dd4S_hUaCMU&index=3&list=PLF277183DD396BCAB	it
Felici con lo Yoga	La Scimmia Yoga	https://www.youtube.com/watch?v=F1541LUJtfA&list=PLSmv8AuzLvGG2gDEis7aIr5mcSEtQmHer	it
Yoga Mal di Schiena	DeAbyDay	https://www.youtube.com/watch?v=lChRuRdpD2g&index=1&list=PLABE9B6EB0B0F0F1F	it
蕙兰瑜伽	Ra tan	https://www.youtube.com/watch?v=By1cS1P8JAI&list=PLIm6JrU5gsxTcqayqIzgTmTYNGA57n9bI	zh
7日速效瘦身瑜伽教程全集	yumengtianya	https://www.youtube.com/watch?v=iZ_uU0QxfSs&list=PL4FF223763A16FA1C	zh
抹茶瑜伽教室	丁小羽 抹茶	https://www.youtube.com/watch?v=eE03b8slBAk&list=PLb_eJQLuFDmv6jGICOxNWvhrtiTV7he-A	zh
孕妇瑜伽	華人健康網	https://www.youtube.com/watch?v=5nNI_D5VBiI&list=PLMlg9_QjIBP_gWeQIFelqM6TiIa83ClxH	zh
LuLu初學瑜伽	FASHIONGUIDE 影音	https://www.youtube.com/watch?v=CAYMxSwAxcI&list=PLKGB-G5pspVrC1s3leG7pEeEq4TdPbC4Z	zh
《你的養生坊》- 每天瑜伽多一點	URadio Phoenix	https://www.youtube.com/watch?v=xzVcoA5fdHc&list=PLn8H43l_TkEzDuqvHqw61ECCE5NfxGqLU	zh
骨盆瑜伽	shecomtw	https://www.youtube.com/watch?v=eseO92LR-k4&list=PLe3LYviBWX1RF7uJ-_eeHgTZ9Udvmu_2s	zh
研式瑜伽	Yans Yoga	https://www.youtube.com/watch?v=f7gYpS1T0VA&list=PLQFCVTbFGA5sF8VjP7M6jzcxd_FlnhzmK	zh
每日來運動-瑜珈教學	洪萱唐	https://www.youtube.com/watch?v=FsdcsPjQIC8&list=PL0768EAB481B14527	zh
基礎瑜珈	adidasWomenTW的頻道	https://www.youtube.com/watch?v=OpFXHjPBa9o&list=PLf2qvxYIscXJ6oht3ekYOoDXUQQHmGw0k	zh
YOGA | ЙОГА | ФИТНЕС-ЙОГА	Катерина Буйда	https://www.youtube.com/watch?v=-uCumUWaJFs&list=PLA5hUJdJm27YP2KdFkUJh0I3ZfjuAUj4o	ru
YOGA LIVE	yogaru	https://www.youtube.com/watch?v=zFFvDEdSb3I&list=PL3CDB5247A261FFD8	ru
Хатха Йога 7 дней в неделю	Ольга Буланова	https://www.youtube.com/watch?v=ee4Y2MN-7IA&list=PLm8gw9G1_9L_piw74CNikl7CyBGQ7Fgqp	ru
Йога для начинающих. Хатха-Йога с Ольгой Булановой и Владимиром Зайцевым	Ольга Буланова	https://www.youtube.com/watch?v=MQBJCUVuKpc&list=PLkXXpckXCWc35CmXjI8HmKdvApPNiY6-h	ru
Уроки йоги: 30 минут	Unagrande YogaClub	https://www.youtube.com/watch?v=E5i4rDc_GA8&list=PLB0Nl_l6SBau4KXPzQ7wl9M45vOUMS77K	ru
#YOGAMIX | Йога для всех | Йога для начинающих	Катерина Буйда	https://www.youtube.com/watch?v=e9QMvdr_QL8&list=PLA5hUJdJm27Zrgylh_gXBL8nKZsf8rXga	ru
Уроки Йоги	УРОКИ ЛАЙФХАКЕРА	https://www.youtube.com/watch?v=VyuNIv3_CSI&list=PL2420D5AC1DB52D62	ru
BIKINI YOGA | БИКИНИ ЙОГА	Катерина Буйда	https://www.youtube.com/watch?v=AEZRizCdrUs&list=PLA5hUJdJm27Yg8zymzgQwdcLbJgefcBzr	ru
Йога для начинающих | Yoga for Beginners	Катерина Буйда	https://www.youtube.com/watch?v=RE4oluBQaWY&list=PLA5hUJdJm27a2j-PP0kN4--JMhUQThe56	ru
Йога и пилатес	Workout - Будь в форме!	https://www.youtube.com/watch?v=ONlBK11kgg4&list=PLMQUcHtjH_H5sJNY4AlAAjIrmwwG6Hg2c	ru
ヨガ	acoyoga	https://www.youtube.com/watch?v=CULm9SYrKnU&list=PLEBF5BC481F723D12	ja
